GEOID,unemployment_2019,unemployment_2020,delta_unemployment,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
01053,0.03484597885419783,0.05990044760414565,0.025054468749947822,Alabama,Escambia County,10869,4918,15910,5951,0.6831552482715273,0.3091137649277184,0.3740414833438089
01055,0.033434110946399316,0.07771894516587602,0.0442848342194767,Alabama,Etowah County,35528,11567,47728,23961,0.7443848474689909,0.2423524974857526,0.5020323499832383
01057,0.03140240426636941,0.050607488222167124,0.019205083955797717,Alabama,Fayette County,7300,1395,8766,5905,0.8327629477526808,0.1591375770020534,0.6736253707506275
01059,0.0275537863064657,0.04441765319848406,0.016863866892018357,Alabama,Franklin County,10376,2086,12578,8290,0.8249324216886628,0.16584512641119414,0.6590872952774687
01061,0.028936844488040438,0.0428975123148906,0.01396066782685016,Alabama,Geneva County,10848,1595,12545,9253,0.8647269828616979,0.12714228776404943,0.7375846950976485
01063,0.05584783488466208,0.10967031786941582,0.05382248298475374,Alabama,Greene County,875,3884,4775,-3009,0.18324607329842932,0.8134031413612566,-0.6301570680628272
01065,0.039359891045284305,0.0948433272467979,0.0554834362015136,Alabama,Hale County,3190,4687,7922,-1497,0.40267609189598585,0.5916435243625348,-0.1889674324665489
01067,0.03562899761193313,0.050124142678040266,0.014495145066107135,Alabama,Henry County,6607,2606,9298,4001,0.7105829210582921,0.2802753280275328,0.43030759303075933
01069,0.030073412651921656,0.056710109193377954,0.026636696541456298,Alabama,Houston County,32618,12917,46173,19701,0.7064301648149351,0.27975223615532885,0.4266779286596063
01071,0.03287379570979933,0.053182359783256264,0.020308564073456936,Alabama,Jackson County,19670,3717,23636,15953,0.8322051108478592,0.15726011169402607,0.6749449991538331
01073,0.0285188428909426,0.06405753250685461,0.035538689615912014,Alabama,Jefferson County,138843,181688,325848,-42845,0.426097444207115,0.5575851317178562,-0.1314876875107412
01075,0.030674759218099958,0.048251797054923586,0.017577037836823628,Alabama,Lamar County,6174,978,7193,5196,0.858334491867093,0.13596552203531212,0.7223689698317809
01077,0.032625449730993794,0.057695225167678055,0.02506977543668426,Alabama,Lauderdale County,31721,11915,44339,19806,0.7154198335551095,0.26872505018155574,0.4466947833735538
01079,0.03124490318972949,0.05213767446297301,0.02089277127324352,Alabama,Lawrence County,12322,3562,16031,8760,0.7686357681991142,0.22219449815981535,0.5464412700392989
01081,0.02716228598042566,0.053957804042858715,0.026795518062433056,Alabama,Lee County,42221,27860,71449,14361,0.590924995451301,0.38992848045459,0.20099651499671095
01083,0.026318589855656313,0.04527979990581987,0.01896121005016356,Alabama,Limestone County,34640,13672,49235,20968,0.7035645374225652,0.27768863613283234,0.42587590128973285
01085,0.056743191746444835,0.13608020814642022,0.07933701639997538,Alabama,Lowndes County,1836,4972,6835,-3136,0.2686174103877103,0.7274323335771763,-0.458814923189466
01087,0.04292205448330042,0.09684988620113194,0.05392783171783152,Alabama,Macon County,1541,7108,8723,-5567,0.1766594061676029,0.8148572738736674,-0.6381978677060645
01089,0.025451841040497542,0.0487319064816298,0.023280065441132255,Alabama,Madison County,102780,87286,194767,15494,0.5277074658438031,0.4481560017867503,0.07955146405705282
01091,0.03524162280416748,0.06281629884697658,0.027574676042809096,Alabama,Marengo County,5343,5488,10900,-145,0.4901834862385321,0.50348623853211,-0.013302752293577969
01093,0.03448853604155121,0.050408694321138835,0.015920158279587628,Alabama,Marion County,12205,1463,13807,10742,0.8839718983124502,0.10596074454986601,0.7780111537625841
01095,0.024639760464100803,0.04208577226540466,0.017446011801303854,Alabama,Marshall County,33191,5943,39655,27248,0.8369940738872778,0.1498676081200353,0.6871264657672425
01097,0.03714475579081331,0.08300840266933843,0.045863646878525115,Alabama,Mobile County,101243,79474,183164,21769,0.5527450809110961,0.43389530693804457,0.11884977397305152
01099,0.04862824463065501,0.08109002412313474,0.03246177949247973,Alabama,Monroe County,6147,4455,10668,1692,0.5762092238470191,0.4176040494938133,0.1586051743532058
01101,0.030815858014644135,0.08136763998517549,0.050551781970531354,Alabama,Montgomery County,33311,64529,99139,-31218,0.3360029857069367,0.6508941990538537,-0.314891213346917
01103,0.025733616878872947,0.04790775813877255,0.022174141259899603,Alabama,Morgan County,39664,13234,53722,26430,0.7383194966680318,0.24634228062990954,0.4919772160381222
01105,0.0521278413946334,0.10699512398031104,0.05486728258567764,Alabama,Perry County,1339,3860,5230,-2521,0.2560229445506692,0.7380497131931166,-0.4820267686424474
01107,0.034856325465943035,0.06584148448014582,0.030985159014202783,Alabama,Pickens County,5594,4022,9668,1572,0.5786098469176665,0.41601158460901944,0.16259826230864705
01109,0.03265654454220883,0.0492816099345141,0.016625065392305273,Alabama,Pike County,8042,5636,13841,2406,0.5810273824145654,0.40719601184885484,0.17383137056571057
01111,0.03032608319789757,0.04715561267629452,0.01682952947839695,Alabama,Randolph County,8559,2203,10837,6356,0.7897942234935867,0.20328504198578942,0.5865091815077973
01113,0.029192981966681433,0.053038518769388185,0.023845536802706752,Alabama,Russell County,9864,11228,21329,-1364,0.46246893900323505,0.5264194289465047,-0.06395048994326968
01115,0.026910946539962413,0.05164495893612262,0.02473401239616021,Alabama,St. Clair County,36166,7744,44441,28422,0.8137980693503747,0.1742535046466101,0.6395445647037645
01117,0.021777381654040223,0.04017485244984766,0.01839747079580744,Alabama,Shelby County,79700,33268,114950,46432,0.6933449325793823,0.28941278816876903,0.4039321444106133
01119,0.04510258391278221,0.06959249763864526,0.024489913725863052,Alabama,Sumter County,1598,4648,6291,-3050,0.2540136703226832,0.7388332538547131,-0.4848195835320299
01121,0.033903201606627804,0.07099878851630334,0.037095586909675536,Alabama,Talladega County,22235,13138,35663,9097,0.623475310545944,0.3683930123657572,0.25508229818018674
01123,0.029826207389536705,0.06680274231432608,0.036976534924789375,Alabama,Tallapoosa County,14963,5859,20991,9104,0.7128293077985803,0.2791196226954409,0.43370968510313945
01125,0.027077494700572413,0.0667189354329808,0.039641440732408384,Alabama,Tuscaloosa County,51117,37765,90172,13352,0.566883289712993,0.41881071729583463,0.14807257241715832
01127,0.03275228332270303,0.059952541875795684,0.027200258553092653,Alabama,Walker County,26002,4834,31170,21168,0.8341995508501765,0.15508501764517163,0.6791145332050048
01129,0.04603940983285133,0.07939378078085221,0.03335437094800088,Alabama,Washington County,6564,2258,8876,4306,0.7395223073456512,0.254393871113114,0.48512843623253715
01131,0.07104174272848972,0.14533370257546385,0.07429195984697413,Alabama,Wilcox County,1833,4048,5903,-2215,0.3105200745383703,0.6857530069456209,-0.3752329324072506
01133,0.033455058511079765,0.04801252006941179,0.014557461558332027,Alabama,Winston County,10195,974,11284,9221,0.9034916696207019,0.08631690889755406,0.8171747607231479
02013,0.028004667444574097,0.04213151774579528,0.014126850301221183,NA,NA,NA,NA,NA,NA,NA,NA,NA
02016,0.03566310728978875,0.04889219538279125,0.013229088093002501,NA,NA,NA,NA,NA,NA,NA,NA,NA
02020,0.050510950560854716,0.0773892925432391,0.02687834198238439,NA,NA,NA,NA,NA,NA,NA,NA,NA
02050,0.12887307236061685,0.11894912548080412,-0.009923946879812726,NA,NA,NA,NA,NA,NA,NA,NA,NA
02060,0.06137865911237016,0.07237219988512349,0.01099354077275333,NA,NA,NA,NA,NA,NA,NA,NA,NA
02068,0.08489127818342294,0.12415884750260639,0.039267569319183446,NA,NA,NA,NA,NA,NA,NA,NA,NA
02070,0.08079504388229221,0.07666276194194976,-0.004132281940342444,NA,NA,NA,NA,NA,NA,NA,NA,NA
02090,0.0538474028094784,0.06696122380153013,0.013113820992051738,NA,NA,NA,NA,NA,NA,NA,NA,NA
02100,0.08932053397330135,0.15364092906465787,0.06432039509135652,NA,NA,NA,NA,NA,NA,NA,NA,NA
02105,0.11376858435681965,0.13566466318007964,0.021896078823259987,NA,NA,NA,NA,NA,NA,NA,NA,NA
02110,0.044448910960012154,0.0685945579906427,0.02414564703063054,NA,NA,NA,NA,NA,NA,NA,NA,NA
02122,0.06797585487441668,0.09622845637671637,0.02825260150229969,NA,NA,NA,NA,NA,NA,NA,NA,NA
02130,0.062183754993342215,0.0994749575333299,0.03729120253998768,NA,NA,NA,NA,NA,NA,NA,NA,NA
02150,0.055848439570353244,0.06953100826592407,0.013682568695570822,NA,NA,NA,NA,NA,NA,NA,NA,NA
02158,0.19297700435052828,0.17435668505468577,-0.018620319295842513,NA,NA,NA,NA,NA,NA,NA,NA,NA
02164,0.09849376323840904,0.09381989405532667,-0.004673869183082366,NA,NA,NA,NA,NA,NA,NA,NA,NA
02170,0.06907279873208105,0.08823201378670188,0.01915921505462083,NA,NA,NA,NA,NA,NA,NA,NA,NA
02180,0.10898918160046248,0.1054457307644084,-0.0035434508360540767,NA,NA,NA,NA,NA,NA,NA,NA,NA
02185,0.0643202142413084,0.061498817841298514,-0.00282139640000989,NA,NA,NA,NA,NA,NA,NA,NA,NA
02188,0.1401056758138742,0.12632924632459758,-0.013776429489276626,NA,NA,NA,NA,NA,NA,NA,NA,NA
